estacion,cp,nombre_cp,renta_media_pond_barrio,renta_bruta_media,tipo_renta,pct_pob_activa_vs_parada,poblacion,tipo_barrio,tipo_paro,nivel_estudios,se_industria,se_residencial,se_servicios,se_global,mwh_persona
invierno,8001.0,Ciutat Vella-El Raval,0.3333,24223.0,1,82.721,43348.0,1,4,1,631229,17859389,27646638,46137256,1064.35
invierno,8002.0,Barrio Gótico,2.8987,33545.0,2,84.2491,27678.0,1,4,2,1683573,14430632,46130230,62244435,2248.88
invierno,8003.0,Barceloneta y Sant Pere,2.1309,30755.0,1,84.1209,35479.0,1,4,2,1885499,21959345,41831799,65676643,1851.14
invierno,8004.0,Pueblo Seco,1.4779,28382.0,1,86.5345,49502.0,1,4,2,16112550,20349994,21451958,57914502,1169.94
invierno,8005.0,El Poblenou,5.4712,41341.0,3,90.144,44203.0,2,2,3,1960275,22195754,36781892,60937921,1378.59
invierno,8006.0,Sant Gervasi,7.1917,55145.0,4,93.1467,36718.0,3,1,4,1467553,18947820,25260734,45676107,1243.97
invierno,8007.0,Passeig de Gràcia-Rambla de Catalunya,7.5571,61207.0,4,93.3525,6730.0,3,1,4,1387973,10036336,29581965,41006274,6093.06
invierno,8008.0,Diagonal-Provença,7.6712,63100.0,4,93.95,1915.0,3,1,4,889160,6942782,17319067,25151009,13133.69
invierno,8009.0,Dreta de L Eixample,7.1086,53766.0,4,92.4044,13263.0,3,1,4,685978,9890208,13200362,23776548,1792.7
invierno,8010.0,Tetúan-Urquinaona,7.007,52081.0,4,92.3643,10062.0,3,1,4,1089288,7878855,15517703,24485846,2433.5
invierno,8011.0,Urgel-Sant Antoni,5.2639,40402.0,3,90.346,24889.0,2,2,3,587271,12395512,14589621,27572404,1107.81
invierno,8012.0,Vila de Gracia,4.9191,38840.0,3,90.5005,28266.0,2,2,3,1043681,17412254,12639644,31095579,1100.11
invierno,8013.0,Glories Catalanes,4.3206,36129.0,2,89.6647,64933.0,2,3,3,1906738,30381614,21038135,53326487,821.25
invierno,8014.0,Hostafrancs-Sants,3.8245,33882.0,2,89.1314,73712.0,2,3,2,1889707,30394947,37347279,69631933,944.65
invierno,8015.0,Sant Antoni,4.5966,37379.0,3,89.9035,60573.0,2,2,3,1493595,30281382,39705649,71480626,1180.07
invierno,8016.0,La Prosperitat-Porta,1.0364,26778.0,1,86.5961,61854.0,1,3,1,658547,20940628,15406972,37006147,598.28
invierno,8017.0,Vallvidrera-Tibidabo i Les Planes,10.0,101735.0,4,93.5396,33121.0,3,1,4,1210158,23274597,30916364,55401119,1672.69
invierno,8018.0,Sant Martí,4.1424,35322.0,2,89.6796,42887.0,2,3,2,6225091,30537795,50815818,87578704,2042.08
invierno,8019.0,Diagonal Mar i El Front Maritim Del Poblenou,3.3,35003.0,2,84.635,40052.0,1,4,1,2747692,22502679,21890376,47140747,1176.99
invierno,8020.0,La Verneda i La Pau,1.3246,27825.0,1,87.0341,64393.0,1,3,1,5851260,23833103,35238821,64923184,1008.23
invierno,8021.0,Muntaner,9.7878,98215.0,4,94.2859,25314.0,3,1,4,2162506,22784100,27621758,52568364,2076.65
invierno,8022.0,Sant Gervasi-La Bonanova,8.0547,69463.0,4,94.0477,31993.0,3,1,4,895184,16618804,17486622,35000610,1094.01
invierno,8023.0,Vallcarca i Los Penitentes,6.392,45512.0,3,90.6821,29831.0,2,2,3,310142,18343348,16508844,35162334,1178.72
invierno,8024.0,Gracia-La Salud,4.4157,36560.0,3,89.9393,59220.0,2,2,3,891227,27346668,15753290,43991185,742.84
invierno,8025.0,Sagrada Familia,4.1753,35471.0,2,90.4983,66760.0,2,2,3,1476603,31272452,36950960,69700015,1044.04
invierno,8026.0,El Clot,3.3695,31821.0,2,89.5259,34035.0,2,3,2,412996,13867721,5773456,20054173,589.22
invierno,8027.0,La Sagrera,2.1491,30821.0,1,88.9891,68548.0,1,3,2,390105,23789438,18589024,42768567,623.92
invierno,8028.0,Les Corts,4.6347,37552.0,3,90.5186,75799.0,2,2,2,2438830,37274268,57562964,97276062,1283.34
invierno,8029.0,L Nou Esquerra de L Eixample,6.6,45329.0,3,91.7983,49999.0,3,1,3,1233855,25770931,31738106,58742892,1174.88
invierno,8030.0,Sant Andreu-Bon Pastor,3.3,31506.0,2,88.7619,71911.0,2,3,1,12419412,28863341,51260060,92542813,1286.91
invierno,8031.0,Vilapicina i La Torre Llobeta,1.7511,29375.0,1,86.5703,51018.0,1,4,1,246025,17103356,8433895,25783276,505.38
invierno,8032.0,El Carmelo-El Guinardó,1.9578,30126.0,1,88.3037,56549.0,1,3,1,303766,22177424,8496144,30977334,547.8
invierno,8033.0,Vallbona-Ciutat Meridiana-Torre Baro-Canyelles,0.0,23012.0,1,79.4117,39722.0,1,4,1,245112,9181018,5425934,14852064,373.9
invierno,8034.0,Pedralbes-Sarriá,9.1169,87085.0,4,94.7412,27745.0,3,1,4,1051188,22278949,37016923,60347060,2175.06
